ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0,0.075,0.85,0.075,0,0
ACN,0,0.275,0.35,0.175,0.2,0
AEP,0,0.375,0.25,0.375,0,0
AIZ,0,0.375,0.45,0.175,0,0
ALLE,0.2,0.275,0.45,0.075,0,0
AMAT,0,0.275,0.25,0.175,0.3,0
AMP,0,0.075,0.25,0.675,0,0
AMZN,0,0.775,0.15,0.075,0,0
AVB,0,0.075,0.35,0.575,0,0
AVY,0,0.075,0.15,0.075,0.7,0.05
AXP,0.4,0.175,0.15,0.275,0,-0.01
BDX,0,0.075,0.15,0.775,0,0
BF-B,0,0.075,0.45,0.175,0.3,0.01
BMY,0,0.075,0.55,0.375,0,0
BR,0,0.775,0.15,0.075,0,0
CARR,0,0.475,0.15,0.075,0.3,0
CDW,0,0.075,0.15,0.375,0.4,0.01
CE,0,0.075,0.15,0.075,0.7,0.02
CHTR,0.2,0.075,0.15,0.275,0.3,0
CNC,0,0.475,0.45,0.075,0,0
CNP,0,0.075,0.45,0.175,0.3,0
COP,0.5,0.075,0.15,0.275,0,-0.02
CTAS,0,0.275,0.15,0.375,0.2,0
CZR,0.4,0.175,0.35,0.075,0,-0.01
DG,0.5,0.275,0.15,0.075,0,-0.01
DPZ,0,0.075,0.15,0.075,0.7,0.05
DRE,0.3,0.275,0.15,0.275,0,-0.01
DXC,0,0.275,0.25,0.075,0.4,0.01
FB,0.4,0.075,0.15,0.075,0.3,0.02
FTV,0.4,0.175,0.35,0.075,0,0
GOOG,0.2,0.175,0.35,0.275,0,0
GPC,0.4,0.175,0.35,0.075,0,-0.01
HIG,0.3,0.075,0.25,0.175,0.2,-0.01
HST,0.2,0.175,0.25,0.375,0,0
JPM,0,0.075,0.45,0.475,0,0
KR,0,0.475,0.25,0.075,0.2,0
OGN,0.2,0.175,0.25,0.375,0,0
PG,0,0.275,0.25,0.175,0.3,0
PPL,0.2,0.175,0.25,0.375,0,0
PRU,0.5,0.075,0.15,0.275,0,-0.01
PYPL,0.7,0.075,0.15,0.075,0,-0.03
RE,0,0.675,0.25,0.075,0,0
ROL,0,0.275,0.25,0.075,0.4,0
ROST,0.3,0.475,0.15,0.075,0,-0.01
UNH,0,0.375,0.25,0.175,0.2,0
URI,0,0.075,0.15,0.275,0.5,0.02
V,0,0.075,0.35,0.275,0.3,0
VRSK,0,0.375,0.15,0.075,0.4,0
WRK,0.3,0.075,0.25,0.075,0.3,0
XOM,0,0.075,0.15,0.075,0.7,0.02
IVV,0,0.275,0.25,0.175,0.3,0
IWM,0.5,0.075,0.35,0.075,0,-0.01
EWU,0,0.275,0.35,0.375,0,0
EWG,0,0.375,0.25,0.175,0.2,0
EWL,0,0.275,0.25,0.075,0.4,0.01
EWQ,0,0.075,0.35,0.375,0.2,0
IEUS,0.3,0.175,0.15,0.375,0,-0.01
EWJ,0.3,0.075,0.55,0.075,0,0
EWT,0,0.075,0.35,0.275,0.3,0.01
MCHI,0.4,0.175,0.35,0.075,0,0
INDA,0,0.075,0.15,0.275,0.5,0.01
EWY,0.2,0.275,0.15,0.375,0,0
EWA,0,0.075,0.35,0.175,0.4,0.01
EWH,0,0.375,0.25,0.175,0.2,0
EWZ,0.3,0.175,0.15,0.075,0.3,0
EWC,0.4,0.375,0.15,0.075,0,-0.03
IEMG,0.4,0.175,0.35,0.075,0,0
LQD,0,0.175,0.75,0.075,0,0
HYG,0,0.275,0.45,0.275,0,0
SHY,0.2,0.275,0.15,0.375,0,0
IEF,0,0.175,0.55,0.275,0,0
TLT,0,0.075,0.15,0.375,0.4,0
SEGA.L,0.5,0.075,0.35,0.075,0,-0.02
IEAA.L,0.1,0.475,0.35,0.075,0,0
HIGH.L,0.3,0.175,0.45,0.075,0,0
JPEA.L,0,0.375,0.25,0.375,0,0
IAU,0,0.375,0.25,0.375,0,0
SLV,0,0.275,0.15,0.175,0.4,0.01
GSG,0,0.275,0.25,0.475,0,0
REET,0,0.475,0.45,0.075,0,0
ICLN,0.4,0.075,0.15,0.175,0.2,-0.01
IXN,0.6,0.175,0.15,0.075,0,-0.02
IGF,0.2,0.375,0.25,0.175,0,-0.01
IUVL.L,0,0.075,0.45,0.375,0.1,0
IUMO.L,0.4,0.175,0.35,0.075,0,0
SPMV.L,0,0.075,0.15,0.575,0.2,0
IEVL.L,0,0.075,0.45,0.475,0,0
IEFM.L,0.3,0.275,0.25,0.175,0,-0.02
MVEU.L,0,0.475,0.45,0.075,0,0
XLK,0,0.075,0.85,0.075,0,0
XLF,0,0.275,0.25,0.175,0.3,0
XLV,0,0.075,0.55,0.375,0,0
XLE,0.5,0.075,0.15,0.075,0.2,0
XLY,0,0.075,0.35,0.275,0.3,0
XLI,0,0.075,0.15,0.275,0.5,0.01
XLC,0.1,0.375,0.45,0.075,0,0
XLU,0,0.075,0.45,0.475,0,0
XLP,0.3,0.175,0.25,0.275,0,0
XLB,0.2,0.175,0.25,0.375,0,0
VXX,0.7,0.075,0.15,0.075,0,-0.04
